Country_Abrv,Country,DemSystemVeryGood,DemSystemFairlyGood,DemSystemFairlyBad,DemSystemVeryBad,StrongLeaderVeryGood,StrongLeaderFairlyGood,StrongLeaderBad,StrongLeaderVeryBad
AL,Albania,46.6,41.7,9.7,2,10.4,27.6,22.8,39.2
AM,Armenia,48.5,43.4,6.5,1.6,22.5,24.2,29.1,24.1
AT,Austria,54.9,37,5,3.1,5.4,17.3,20.6,56.8
BA,Bosnia and Herzegovina,32.7,49.9,12.9,4.4,10.9,31.3,34.3,23.6
BE,Belgium,40.1,51.7,7.3,0.8,11.1,29.6,26.5,32.8
BG,Bulgaria,26.2,53.7,15.3,4.9,22.4,39.2,28.4,10
BY,Belarus,23.3,64.8,10.3,1.6,24.3,47,22.5,6.2
CH,Switzerland,59.7,37.3,2.1,0.9,5.5,18.1,35.4,41
CY,Cyprus,72,22.7,2.2,3.1,3.3,11.7,20,65
CY-TCC,Northern Cyprus,40.7,48.6,7.7,3.1,35.4,35.6,20.2,8.7
CZ,Czech Republic,30.2,51.7,13.1,5,7.9,21.3,27.2,43.6
DE,Germany,46.5,44.8,7.3,1.4,4.5,15,22.8,57.7
DK,Denmark,85.8,13.5,0.6,0.1,5.3,9.4,24,61.3
EE,Estonia,22.8,60.8,13.4,3,5.9,21.4,40.9,31.9
ES,Spain,57.7,38.6,2.4,1.3,4,16.6,26.4,52.9
FI,Finland,44.1,47.8,7,1.1,3.2,11.7,28.5,56.6
FR,France,51.4,39.8,6.9,1.9,6.3,19.2,31.8,42.7
GB-GBN,United Kingdom,46.4,39.7,9.6,4.3,7.1,21.4,30.3,41.2
GB-NIR,Northern Ireland,40.6,41.6,11.7,6.1,4,32,25,39
GE,Georgia,45.6,50.7,2.9,0.8,23.2,31.2,26.6,19
GR,Greece,75,22.1,1.3,1.6,2,5.4,16.2,76.3
HR,Croatia,29.9,58.4,9.3,2.4,5.4,25.7,42.5,26.4
HU,Hungary,28.8,53.4,13.6,4.2,7,20.1,39.4,33.5
IE,Ireland,41.4,42.3,10.4,5.9,9.5,24.2,23.3,43
IS,Iceland,59.2,37,2.9,0.9,5.1,9.8,44,41.2
IT,Italy,64.3,32.6,2.3,0.8,5.2,11.1,24.4,59.2
LT,Lithuania,22.7,60.6,13.5,3.3,14.7,36.5,34.8,14
LU,Luxembourg,57.4,34,5.8,2.7,12.4,24.1,24.5,39
LV,Latvia,14.6,62.8,18.7,3.9,18,44.9,28.3,8.8
MD,Moldova,29.4,51,16,3.5,38.6,46,13.2,2.1
ME,Montenegro,42.2,45.6,10,2.2,16.4,35,36.1,12.5
MK,Macedonia,47.9,46.1,4,1.9,32.9,39.4,17,10.6
MT,Malta,56.7,38.5,3,1.8,7.9,22.4,29.6,40.1
NL,Netherlands,36.9,55.1,6.6,1.5,8.3,29,32.4,30.2
NO,Norway,67.2,28.5,3.4,0.9,3,14.9,29.1,52.9
PL,Poland,23.5,62.8,11.2,2.5,3.5,17.9,44.5,34.1
PT,Portugal,33.7,58,7.3,1.1,10.7,38.3,37.2,13.8
RO,Romania,33.1,50.8,12.4,3.7,35,38.4,19.3,7.3
RS,Serbia,33.5,55.4,8.9,2.2,23.7,44.2,22.9,9.1
RS-KM,Kosovo,43.3,44.6,8.8,3.3,27.9,22.6,19.1,30.3
RU,Russia,16.5,61.1,16.6,5.8,22.2,36.6,29.1,12.1
SE,Sweden,70.1,23.9,4.8,1.2,2.4,12.8,21.6,63.2
SI,Slovenia,33.2,54.4,10.3,2.1,6.6,19.5,37.3,36.6
SK,Slovakia,25.5,62.6,9.8,2.1,2.4,10,36,51.5
TR,Turkey,47.4,42.8,8.2,1.6,26.7,34.5,24.5,14.4
UA,Ukraine,18.1,54,20.3,7.5,29.3,37.4,20.5,12.8
