Country,Status,PR Aggr,CL Aggr,Total Aggr
Afghanistan,NF,10,14,24
Albania,PF,28,40,68
Algeria,NF,11,24,35
Andorra,F,39,56,95
Angola,NF,10,14,24
Antigua and Barbuda,F,33,50,83
Argentina,F,33,49,82
Armenia,PF,16,29,45
Australia,F,40,58,98
Austria,F,37,58,95
Azerbaijan,NF,4,10,14
Bahamas,F,38,53,91
Bahrain,NF,2,10,12
Bangladesh,PF,20,27,47
Barbados,F,40,57,97
Belarus,NF,5,15,20
Belgium,F,40,55,95
Belize,F,36,51,87
Benin,F,33,49,82
Bhutan,PF,28,27,55
Bolivia,PF,29,39,68
Bosnia and Herzegovina,PF,21,34,55
Botswana,F,28,44,72
Brazil,F,31,48,79
Brunei,NF,7,22,29
Bulgaria,F,33,47,80
Burkina Faso,PF,23,40,63
Burundi,NF,5,14,19
Cambodia,NF,11,20,31
Cameroon,NF,9,15,24
Canada,F,40,59,99
Cape Verde,F,37,53,90
Central African Republic,NF,4,6,10
Chad,NF,4,14,18
Chile,F,37,57,94
China,NF,1,14,15
Colombia,PF,29,35,64
Comoros,PF,24,31,55
Congo (Brazzaville),NF,5,22,27
Congo (Kinshasa),NF,4,15,19
Costa Rica,F,38,53,91
Cote d'Ivoire,PF,20,32,52
Croatia,F,37,50,87
Cuba,NF,1,14,15
Cyprus,F,38,56,94
Czech Republic,F,38,56,94
Denmark,F,40,57,97
Djibouti,NF,7,19,26
Dominica,F,38,57,95
Dominican Republic,PF,27,41,68
Ecuador,PF,24,33,57
Egypt,NF,9,17,26
El Salvador,F,34,36,70
Equatorial Guinea,NF,1,7,8
Eritrea,NF,1,2,3
Estonia,F,38,56,94
Ethiopia,NF,4,8,12
Fiji,PF,25,34,59
Finland,F,40,60,100
France,F,38,52,90
Gabon,NF,8,24,32
"Gambia, The",NF,8,12,20
Georgia,PF,27,37,64
Germany,F,39,56,95
Ghana,F,37,46,83
Greece,F,35,49,84
Grenada,F,38,51,89
Guatemala,PF,23,31,54
Guinea,PF,17,24,41
Guinea-Bissau,PF,16,24,40
