Country,DemSystemVeryGood,DemSystemFairlyGood,DemSystemFairlyBad,DemSystemVeryBad,StrongLeaderVeryGood,StrongLeaderFairlyGood,StrongLeaderBad,StrongLeaderVeryBad
Andorra,0.474,0.502,0.024,0.001,0.016,0.065,0.376,0.544
Argenti,0.515,0.465,0.003,0.017,0.067,0.341,0.336,0.256
Australia,0.575,0.316,0.08,0.03,0.058,0.178,0.297,0.468
Brazil,0.3,0.604,0.072,0.024,0.024,0.537,0.303,0.136
Bulgaria,0.327,0.543,0.096,0.034,0.322,0.358,0.232,0.089
BurkiFaso,0.744,0.211,0.032,0.013,0.204,0.275,0.193,0.328
Canada,0.57,0.348,0.053,0.029,0.064,0.02,0.306,0.61
Chile,0.431,0.494,0.054,0.021,0.085,0.035,0.471,0.409
Chi,0.363,0.619,0.005,0.013,0.055,0.288,0.538,0.119
Colombia,0.583,0.13,0.245,0.042,0.052,0.259,0.476,0.213
Cyprus,0.719,0.232,0.037,0.012,0.214,0.665,0.063,0.059
Egypt,0.79,0.193,0.013,0.004,0.084,0.076,0.334,0.505
Ethiopia,0.783,0.194,0.012,0.011,0.057,0.255,0.313,0.375
Finland,0.396,0.507,0.089,0.008,0.04,0.181,0.375,0.404
France,0.493,0.409,0.076,0.022,0.146,0.347,0.454,0.054
Georgia,0.634,0.347,0.014,0.005,0.275,0.37,0.333,0.022
Germany,0.568,0.383,0.04,0.009,0.025,0.144,0.253,0.578
Ghana,0.847,0.115,0.013,0.025,0.115,0.152,0.024,0.709
GreatBritain,0.123,0.679,0.121,0.077,0.077,0.205,0.227,0.49
Guatemala,0.27,0.607,0.105,0.018,0.015,0.508,0.382,0.095
HongKong,0.357,0.276,0.312,0.055,0.028,0.288,0.587,0.097
Hungary,0.784,0.077,0.109,0.03,0.108,0.258,0.037,0.597
India,0.52,0.397,0.059,0.024,0.256,0.382,0.245,0.116
Indonesia,0.58,0.388,0.022,0.01,0.043,0.195,0.564,0.199
Iran,0.767,0.093,0.099,0.041,0.23,0.513,0.181,0.076
Iraq,0.787,0.048,0.113,0.052,0.111,0.097,0.218,0.574
Italy,0.639,0.315,0.04,0.006,0.004,0.107,0.301,0.588
Japan,0.362,0.541,0.094,0.002,0.048,0.195,0.35,0.407
Jordan,0.184,0.715,0.082,0.02,0.081,0.105,0.375,0.439
Malaysia,0.435,0.481,0.066,0.017,0.175,0.425,0.263,0.136
Mali,0.585,0.299,0.065,0.051,0.041,0.42,0.212,0.327
Mexico,0.276,0.586,0.124,0.014,0.087,0.493,0.33,0.089
Moldova,0.41,0.471,0.088,0.031,0.034,0.601,0.353,0.012
Morocco,0.748,0.216,0.03,0.007,0.111,0.155,0.225,0.508
Netherlands,0.447,0.487,0.063,0.002,0.116,0.458,0.384,0.042
NewZealand,0.597,0.344,0.033,0.026,0.041,0.146,0.226,0.587
Norway,0.683,0.292,0.021,0.004,0.029,0.128,0.288,0.555
Poland,0.234,0.609,0.135,0.022,0.069,0.236,0.433,0.261
Romania,0.855,0.065,0.065,0.014,0.344,0.438,0.154,0.064
Russia,0.255,0.57,0.17,0.005,0.2,0.366,0.315,0.119
SerbiaandMontenegro,0.346,0.455,0.129,0.07,0.118,0.2,0.333,0.349
Slovenia,0.467,0.405,0.093,0.035,0.057,0.141,0.309,0.493
SouthAfrica,0.096,0.721,0.136,0.047,0.189,0.247,0.189,0.375
SouthKorea,0.232,0.584,0.178,0.006,0.108,0.636,0.062,0.194
Spain,0.602,0.37,0.027,0.001,0.052,0.274,0.331,0.343
Sweden,0.762,0.217,0.017,0.004,0.037,0.143,0.275,0.545
Switzerland,0.612,0.348,0.032,0.008,0.028,0.135,0.306,0.531
Taiwan,0.706,0.137,0.148,0.009,0.228,0.604,0.044,0.123
Thailand,0.451,0.475,0.068,0.005,0.162,0.546,0.264,0.028
TrinidadandTobago,0.598,0.299,0.042,0.061,0.154,0.185,0.178,0.484
Turkey,0.585,0.346,0.049,0.02,0.233,0.356,0.206,0.206
Ukraine,0.425,0.506,0.017,0.052,0.279,0.367,0.216,0.138
UnitedStates,0.452,0.405,0.107,0.037,0.09,0.034,0.417,0.46
Uruguay,0.553,0.359,0.066,0.023,0.072,0.316,0.411,0.201
Vietm,0.579,0.351,0.048,0.022,0.021,0.008,0.275,0.696
Zambia,0.673,0.246,0.061,0.02,0.161,0.214,0.201,0.424
